transaction_id,sender_account,receiver_account,transaction_type,amount,timestamp,channel,description,sender_avg_amount,sender_max_amount,sender_tx_count,amount_to_sender_avg,amount_to_sender_max,sender_tx_count_24h,sender_volume_24h,amount_to_sender_volume_24h,is_new_recipient,same_day_count,same_day_total,same_recipient_count,rapid_transfer_count
1,ACC000001,ACC315161,deposit,78303.62,2026-08-06T08:21:00.347899+00:00,card,Cash deposit via card,383.6977248919248,767.3954497838496,0,204.07632081231543,102.03816040615771,0,0,1.0,1.0,0,0,0,0
2,ACC000001,ACC884229,withdraw,4165.78,2026-08-28T12:05:02.348048+00:00,mobile,Cash withdrawal via mobile,78303.62,78303.62,1,0.05320035012429821,0.05320035012429821,0,0,4165.78,1.0,0,0,0,0
3,ACC000001,ACC373668,deposit,61103.87,2026-08-06T14:04:37.348180+00:00,online,Funds transfer in via online,41234.7,78303.62,2,1.4818555730974157,0.7803454042099204,2,82469.4,0.7409277865487078,1.0,1,78303.62,1,0
4,ACC000001,ACC343962,transfer,1704.77,2026-08-22T13:28:17.348254+00:00,online,Transfer via online,47857.75666666666,78303.62,3,0.0356216028234225,0.021771279539822042,1,4165.78,0.4092318845450312,1.0,0,0,0,0
5,ACC000001,ACC377880,transfer,2524.06,2026-08-22T14:07:34.348321+00:00,mobile,Transfer via mobile,36319.51,78303.62,4,0.06949598163631612,0.03223426962891371,2,5870.549999999999,0.42995290049484297,1.0,1,1704.77,1,0
6,ACC000001,ACC473023,deposit,4948.09,2026-08-23T17:02:13.348394+00:00,online,Cash deposit via online,29560.420000000002,78303.62,5,0.16738902897861396,0.06319107596813532,1,4165.78,1.18779436264037,1.0,0,0,0,0
7,ACC000001,ACC932369,withdraw,2458.57,2026-09-01T14:54:28.348460+00:00,mobile,Cash withdrawal via mobile,25458.365,78303.62,6,0.09657218756978306,0.0313979098284345,0,0,2458.57,0.0,0,0,0,0
8,ACC000001,ACC371393,withdraw,1999.81,2026-08-28T11:52:25.348521+00:00,online,Cash withdrawal via online,22172.68,78303.62,7,0.09019252521571591,0.025539176860533395,2,6624.35,0.30188773238129024,0.0,1,4165.78,1,0
9,ACC000001,ACC701761,deposit,2060.52,2026-08-04T15:51:08.348583+00:00,mobile,Credit received via mobile,19651.07125,78303.62,8,0.1048553523513381,0.0263144922290949,8,157208.57,0.013106919043917262,1.0,0,0,1,0
10,ACC000001,ACC255851,transfer,2125.59,2026-08-11T14:11:22.348660+00:00,mobile,Wire transfer via mobile,17696.565555555557,78303.62,9,0.12011313683025375,0.02714548829287842,6,17801.08,0.11940792356418824,0.0,0,0,0,0
11,ACC000001,ACC935922,deposit,1191.4,2026-08-19T16:30:03.348730+00:00,online,Credit received via online,16139.467999999999,78303.62,10,0.07381903790137322,0.015215133093463624,6,17801.08,0.06692852343790377,0.0,0,0,0,0
12,ACC000001,ACC383572,withdraw,2412.89,2026-08-17T16:50:31.348797+00:00,mobile,Funds transfer out via mobile,14780.552727272727,78303.62,11,0.1632476162780971,0.030814539608769044,7,18992.48,0.12704449339949284,0.0,0,0,1,0
13,ACC000001,ACC788772,withdraw,2215.36,2026-08-24T08:51:30.348873+00:00,online,Debit via online,13749.914166666667,78303.62,12,0.16111809667660348,0.028291923157575605,4,13572.25,0.16322717309215495,0.0,0,0,0,0
